56,24.19,100.427,5.88
55.6,23.87,100.48,5.84
256.9,24.34,100.33,1.92
265.6,28.18,100.409,1.64
271.2,33.42,100.468,0.32
100.2,36.52,100.521,0.91
98.1,40.15,100.48,1.4
95,43.03,100.396,1.69
96.1,44.9,100.272,1.95
102.4,45.46,100.107,2.21
108.8,44.65,99.969,2.41
114.8,42.78,99.864,2.74
123.5,40.27,99.837,3.13
134.3,36.79,99.876,3.48
145,33.36,99.911,3.82
156.4,31.27,100.05,4.32
167,30.43,100.13,4.47
180.2,29.75,100.198,4.66
192.9,29,100.236,4.76
203.7,28.32,100.25,4.77
213.2,27.75,100.226,4.79
221.4,27.2,100.177,4.82
228.8,26.73,100.112,4.83
237.2,26.31,100.084,4.34
245.1,25.83,100.067,3.79
252.1,25.44,100.08,3.35
29.3,21.98,100.288,3.77
27.5,26.25,100.347,3.37
43.8,31.43,100.423,3.09
53.6,35.96,100.484,3.14
58.5,39.76,100.459,3.34
62.2,42.49,100.37,3.59
65.9,44.12,100.206,3.82
70.3,44.58,100.08,3.98
74.3,44.03,99.948,4.05
83.5,42.29,99.878,4.25
91.8,39.59,99.84,4.5
98.4,36.01,99.884,4.82
106.1,31.9,99.952,5.39
113.2,29.46,100.066,5.94
113.6,28.5,100.168,5.8
108.2,27.58,100.275,5.06
100.8,26.77,100.329,4.27
91.8,26.06,100.341,3.53
80.3,25.45,100.292,2.85
64.9,24.96,100.248,2.32
47,24.55,100.181,2.01
42.1,24.13,100.161,2.11
40.7,23.84,100.142,2.42
37.7,23.52,100.179,2.77
237,25.2,100.379,3.14
240.3,28.38,100.465,3.04
235.9,31.86,100.52,2.76
227,35.11,100.578,2.42
208.2,36.72,100.536,2.11
186.6,38.49,100.497,2.01
168.5,40.3,100.4,2.39
158.2,40.97,100.313,2.95
154,39.84,100.204,3.49
150.9,37.31,100.179,3.82
149.9,34.58,100.168,4.05
151,32.76,100.22,4.17
154.2,30.79,100.269,4.2
156.8,29.69,100.359,4.12
158.8,29.12,100.427,3.82
162.6,28.61,100.455,3.59
166.6,28.06,100.501,3.33
170.7,27.56,100.534,3.04
175,27.01,100.495,2.7
177.6,26.58,100.418,2.35
178,26.27,100.371,2
180.1,25.92,100.34,1.68
184.6,25.8,100.345,1.54
188.5,25.74,100.352,1.52
267.9,23.29,100.334,3.47
265.1,26.94,100.401,3.01
